■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2019-05-03,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2014-01-01~2014-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
45,드라큘라: 전설의 시작,10/8/2014,"10,607,703,908",0.6%,"10,607,703,908","1,321,751","1,321,751",477,"46,483",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"판타지,액션",개리 쇼어,"루크 에반스,도미닉 쿠퍼"
46,가디언즈 오브 갤럭시,7/31/2014,"11,098,239,184",0.7%,"11,098,239,184","1,311,190","1,311,190",539,"22,417",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼"
47,찌라시: 위험한 소문,2/20/2014,"9,111,748,087",0.5%,"9,111,748,087","1,221,427","1,221,427",560,"37,426",한국,한국,(주)영화사수박,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",김광식,"김강우,고창석,박성웅,이진호,이현민,이현민,박정우,박진수,서병덕,임준혁,장한얼,신현수,정문구,정승아,정자영,유지연,정희중,조아라,윤석진,고태영,이경훈,최선규,이상미,이성재,이정호,이종혁,이준혁,이지은,김도형,김민호,김범준,김진성,문호진,민정기,이채은,정진영,진선규,장광,김의성,배용근,최미라,고원희,박형수"
48,빅매치,11/27/2014,"8,952,096,578",0.5%,"8,952,096,578","1,177,438","1,177,438",627,"38,527",한국,한국,(주)보경사,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,액션,최호,"이정재,신하균,이성민,보아,김의성,손호준,강정원,김근배,김재철,김종선,남성호,박상현,안병래,이상헌,이재남,이재훈,이종현,이진민,정현진,배성우,맹상훈,최우식,조덕제,김윤성,박지환"
49,슬로우 비디오,10/2/2014,"8,913,092,219",0.5%,"8,913,092,219","1,169,562","1,169,562",618,"40,665",한국,한국,"이십세기폭스 인터내셔널 프로덕션,(주)영화사AK기쁜우리젊은날",이십세기폭스코리아(주),12세이상관람가,"드라마,코미디",김영탁,"차태현,남상미,오달수,고창석,진경,유영,김강현,최성원,이준혁,이용감,이윤수,정다이,정지연,현창조,김상철,김용구,류혜영,조덕제,안길강,장성범,황승언"
50,방황하는 칼날,4/10/2014,"7,828,891,800",0.5%,"7,828,891,800","989,906","989,906",594,"38,850",한국,한국,(주)에코필름,씨제이이앤엠(주),청소년관람불가,"범죄,스릴러",이정호,"이진성,정재영,이성민,서준영,박정호,박지영,박진선,서주연,안지현,유지은,정혜정,차수빈,이동기,이수경,이승현,이주승,김기현,김수진,김원진,김태준,김현,김현호,김희석,김홍파,김대명,정석용,오정세,김태준"
51,로보캅,2/13/2014,"7,299,641,958",0.4%,"7,299,641,958","979,509","979,509",627,"29,686",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,SF",호세 파딜라,"조엘 키나만,사무엘 L. 잭슨,게리 올드만,애비 코니시,마이클 키튼"
52,우리는 형제입니다,10/23/2014,"7,263,255,399",0.4%,"7,263,255,399","970,373","970,373",566,"41,638",한국,한국,필름있수다,(주)쇼박스,12세이상관람가,"코미디,드라마",장진,"김성균,조진웅,윤진이,김원,김지경,이효제,김병옥,이철민,김원해,이상수,이한위,이해영,배제기,조복래,차은재"
53,애나벨,10/2/2014,"7,083,492,943",0.4%,"7,083,492,943","926,027","926,027",464,"29,000",미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),존 R. 레오네티,"애나벨 월리스,워드 호튼,알프레 우다드,에릭 라딘,토니 아멘돌라"
54,헝거게임: 모킹제이,11/20/2014,"6,400,058,044",0.4%,"6,400,058,044","854,377","854,377",630,"28,796",미국,미국,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"어드벤처,SF,스릴러",프란시스 로렌스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,필립 세이모어 호프만,줄리안 무어,우디 해럴슨,엘리자베스 뱅크스,도날드 서덜랜드"
55,월터의 상상은 현실이 된다,12/31/2013,"6,134,220,799",0.4%,"6,877,262,799","834,348","941,626",373,"22,938",미국,미국,,"글뫼 주식회사,이십세기폭스코리아(주)",12세이상관람가,"어드벤처,코미디,드라마",벤 스틸러,"벤 스틸러,크리스틴 위그,숀 펜,셜리 맥클레인"
56,카트,11/13/2014,"5,912,676,633",0.4%,"5,912,676,633","812,490","812,490",544,"28,547",한국,한국,(주)명필름,(주)리틀빅픽쳐스,12세이상관람가,드라마,부지영,"염정아,문정희,김영애,김강우,이승준,도경수,김민경,김선간,김지은,김지현,김현,이고운,이승준,이주현,이지혜,김수안,지우,길해연,황정민,김희원,박미현,송지인,장리우,목규리"
57,관능의 법칙,2/13/2014,"5,858,771,500",0.4%,"5,858,771,500","781,516","781,516",591,"30,630",한국,한국,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"드라마,코미디",권칠인,"엄정화,문소리,조민수,이경영,이성민,이재윤,백동훈,전민혁,오상진,차수보,황정현,김용식,김재혁,김지은,조우진,최무성,진선규,권해효"
58,그랜드 부다페스트 호텔,3/20/2014,"6,019,756,082",0.4%,"6,019,756,082","774,699","774,699",241,"26,377",미국,"미국,독일",,"(주)피터팬픽쳐스,이십세기폭스코리아(주)","청소년관람불가,15세이상관람가","미스터리,어드벤처",웨스 앤더슨,"랄프 파인즈,틸다 스윈튼,주드 로,애드리언 브로디,윌렘 데포,에드워드 노튼,시얼샤 로넌,레아 세이두"
59,리오 2,5/1/2014,"5,669,231,900",0.3%,"5,669,231,900","765,961","765,961",598,"14,929",미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,코미디,어드벤처",카를로스 살다나,"제시 아이젠버그,앤 해서웨이,레슬리 만,제이미 폭스,임시완,류승룡,써니"
60,"안녕, 헤이즐",8/13/2014,"5,833,905,000",0.4%,"5,833,905,000","749,146","749,146",326,"17,946",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,멜로/로맨스",조쉬 분,"쉐일린 우들리,안셀 엘고트,냇 울프,윌렘 데포"
61,고질라,5/15/2014,"5,972,847,963",0.4%,"5,972,847,963","709,734","709,734",610,"25,335",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF",가렛 에드워즈,"애런 존슨,브라이언 크랜스톤,엘리자베스 올슨,줄리엣 비노쉬,와타나베 켄"
62,트랜센던스,5/14/2014,"5,478,536,500",0.3%,"5,478,536,500","696,436","696,436",417,"23,243",미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"SF,액션,드라마",월리 피스터,"조니 뎁,레베카 홀,모건 프리먼,폴 베타니,킬리언 머피"
63,상의원,12/24/2014,"5,293,724,564",0.3%,"5,293,724,564","676,632","676,632",466,"13,809",한국,한국,"(주)영화사비단길,상의원문화산업전문(유)","(주)쇼박스,(주)와우픽쳐스",15세이상관람가,"사극,드라마",이원석,"홍수민,한석규,고수,박신혜,유연석,김수웅,김주훈,김지현,김현정,박병은,박소담,배성우,한지은,김재화,이유비,최희진,신소율,김종언,전소니,조달환"
