■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2019-05-03,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2013-01-01~2013-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
29,용의자,12/24/2013,"15,629,492,500",1.0%,"15,629,492,500","2,176,752","2,176,752",807,"26,814",한국,한국,"(주)그린피쉬,(주)쇼박스",(주)쇼박스,15세이상관람가,"액션,스릴러",원신연,"공유,박희순,조성하,유다인,김성균,조재윤,김민재,김의성,송재림,최종률,남보라,기주봉,이채윤,이현명,이현우,박진수,신나라,신창환,차현준,최두리,최태환,이민수,이병훈,이성제,김경호,이언정,이재혁,김기환,김은영,김정훈,김주영,김진아,김태현,류정은,문용군,송재호,박찬영,서현우"
30,호빗: 스마우그의 폐허,12/12/2013,"16,564,184,549",1.1%,"16,564,184,549","2,115,878","2,115,878",811,"35,223",미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,드라마,판타지",피터 잭슨,"마틴 프리먼,베네딕트 컴버배치,케이트 블란쳇,올랜도 블룸,리차드 아미티지,루크 에반스,휴고 위빙,크리스토퍼 리,에반젤린 릴리"
31,몽타주,5/16/2013,"15,002,458,500",1.0%,"15,002,458,500","2,095,592","2,095,592",544,"53,195",한국,한국,(주)미인픽쳐스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,정근섭,"엄정화,김상경,송영창,조희봉,정해균,유승목,이정환,조한기,고해성,허정은,홍종성,김윤태,이준혁,오대환,기주봉"
32,터보,7/25/2013,"13,116,737,000",0.8%,"13,116,737,000","1,924,414","1,924,414",634,"28,783",미국,미국,,씨제이이앤엠(주),전체관람가,애니메이션,데이빗 소렌,"라이언 레이놀즈,폴 지아마티,마이클 페나,사무엘 L. 잭슨,루이스 구즈만,스눕 독,미쉘 로드리게즈"
33,연애의 온도,3/21/2013,"13,798,864,446",0.9%,"13,798,864,446","1,865,195","1,865,195",567,"57,847",한국,한국,(주)뱅가드스튜디오,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"멜로/로맨스,코미디",노덕,"이민기,김민희,최무성,라미란,장영준,정여진,조치언,박명규,권유진,박병은,하연수,김강현"
34,지.아이.조 2,3/28/2013,"14,457,048,500",0.9%,"14,457,048,500","1,855,917","1,855,917",766,"62,627",미국,"미국,캐나다",파라마운트 픽쳐스,씨제이이앤엠(주),15세이상관람가,"액션,어드벤처,SF",존 추,"이병헌,브루스 윌리스,드웨인 존슨,채닝 테이텀,애드리앤 팰리키,레이 스티븐슨,레이 파크"
35,분노의 질주: 더 맥시멈,5/22/2013,"13,210,338,042",0.9%,"13,210,338,042","1,790,916","1,790,916",657,"44,371",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,저스틴 린,"빈 디젤,드웨인 존슨,폴 워커,미셸 로드리게즈"
36,공범,10/24/2013,"12,333,110,882",0.8%,"12,333,110,882","1,766,285","1,766,285",611,"51,425",한국,한국,선샤인필름(주),씨제이이앤엠(주),15세이상관람가,"스릴러,드라마",국동석,"손예진,김갑수,임형준,이규한,조안,강신일,유원선,이선아,장루비,최단비,함채영,김광규,박사랑,임종윤,유지연"
37,집으로 가는 길,12/11/2013,"12,373,339,745",0.8%,"12,373,339,745","1,763,231","1,763,231",740,"39,811",한국,한국,"씨제이이앤엠(주),(주)다세포클럽",씨제이이앤엠(주),15세이상관람가,드라마,방은진,"전도연,고수,류태호,조승연,최민철,조수정,박윤희,박인영,이태범,강명찬,이후빈,신창수,최성택,최원기,허준석,이언정,이정은,김미경,김진상,김현민,김현철,배성우,이동휘,장광,김해곤,박형수"
38,전설의 주먹,4/10/2013,"12,777,314,500",0.8%,"12,777,314,500","1,744,585","1,744,585",724,"57,593",한국,한국,(주)시네마서비스,씨제이이앤엠(주),청소년관람불가,"드라마,액션",강우석,"황정민,유준상,이요원,윤제문,정웅인,성지루,지우,장영주,장임태,장준석,장한별,전상민,전재형,정동혁,정윤성,주창욱,채성원,천준호,최봉록,최춘범,최충열,허명행,박용균,박재영,이수민,구원,박정민,박진우,서범식,강신일,강성진,김종수,변준우,전준영"
39,파파로티,3/14/2013,"11,825,934,000",0.8%,"11,825,934,000","1,716,429","1,716,429",552,"53,601",한국,한국,케이엠컬쳐㈜,(주)쇼박스,15세이상관람가,드라마,윤종찬,"한석규,이제훈,오달수,조진웅,강소라,이재용,채성원,홍준표,송원종,배성우,차종호,성유빈"
40,스타트렉 다크니스,5/30/2013,"12,964,828,000",0.8%,"12,964,828,000","1,605,271","1,605,271",607,"40,504",미국,미국,파라마운트 픽쳐스,씨제이이앤엠(주),12세이상관람가,"액션,SF,어드벤처",J.J. 에이브럼스,"크리스 파인,칼 어번,조 샐다나,안톤 옐친,재커리 퀸토,베네딕트 컴버배치"
41,라이프 오브 파이,1/1/2013,"15,812,506,500",1.0%,"15,870,581,500","1,588,373","1,593,463",392,"32,722",미국,미국,,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",전체관람가,"어드벤처,드라마",이안,"수라즈 샤르마,이르판 칸,라프 스팰"
42,오블리비언,4/11/2013,"11,165,841,500",0.7%,"11,165,841,500","1,515,356","1,515,356",634,"47,871",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,SF",조셉 코신스키,"톰 크루즈,모건 프리먼,올가 쿠릴렌코,안드레아 라이즈보로"
43,위대한 개츠비,5/16/2013,"10,581,329,643",0.7%,"10,581,329,643","1,445,248","1,445,248",562,"36,008",미국,"미국,호주",,워너브러더스 코리아(주),15세이상관람가,"드라마,멜로/로맨스",바즈 루어만,"레오나르도 디카프리오,캐리 뮬리건,토비 맥과이어"
44,다이하드: 굿 데이 투 다이,2/6/2013,"10,825,703,000",0.7%,"10,825,703,000","1,438,056","1,438,056",459,"33,055",미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,범죄,스릴러",존 무어,"브루스 윌리스,제이 코트니,패트릭 스튜어트,메리 엘리자베스 윈스티드,콜 하우저"
45,런닝맨,4/4/2013,"10,060,239,500",0.6%,"10,060,239,500","1,422,844","1,422,844",567,"45,995",한국,"한국,미국","(주)크리픽쳐스,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),15세이상관람가,"액션,코미디",조동오,"신하균,김혜란,이태리,김상호,조은지,오정세,주현,김의성,정석용,남경읍,정동석,조원철,지성환,김도연,김선간,한승현"
46,미스터 고,7/17/2013,"9,337,976,000",0.6%,"9,337,976,000","1,328,888","1,328,888",840,"38,263",한국,"한국,중국","(주)덱스터필름,(주)광대무변,(주)컨텐츠아이",(주)쇼박스,12세이상관람가,"코미디,드라마",김용화,"서교,성동일,이훈민,임동욱,임승묵,임왕섭,천재성,최인호,박정훈,배지현,조재윤,변희봉,김성주,김인우,김희원,김태준,김고은"
47,결혼전야,11/21/2013,"8,434,175,719",0.5%,"8,434,175,719","1,212,843","1,212,843",524,"38,819",한국,한국,(주)수필름,씨너스엔터테인먼트(주),15세이상관람가,"멜로/로맨스,코미디",홍지영,"김강우,김효진,주지훈,이연희,옥택연,마동석,구잘 투르수노바,이희준,고준희,최종윤,정민주,이미도,최병모,김광규,장광,황정민,오나라,임병우,이주실"
48,깡철이,10/2/2013,"8,572,344,462",0.6%,"8,572,344,462","1,209,363","1,209,363",707,"43,102",한국,한국,"(주)시네마서비스,㈜더드림앤드픽쳐스,㈜팝콘필름",씨제이이앤엠(주),15세이상관람가,"드라마,액션,가족",안권태,"유아인,김해숙,김정태,김성오,정유미,이시언,신정근,손희정,신경주,신창수,이동연,이동훈,이승민,이태영,길정환,하수진,한상현,이도겸,김인우,장태성"
49,엘리시움,8/29/2013,"9,017,994,500",0.6%,"9,017,994,500","1,207,732","1,207,732",588,"31,515",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),청소년관람불가,"SF,액션",닐 블롬캠프,"맷 데이먼,조디 포스터,샬토 코플리,윌리엄 피츠너"
50,더 웹툰: 예고살인,6/27/2013,"8,537,683,070",0.6%,"8,537,683,070","1,201,457","1,201,457",541,"35,931",한국,한국,"(주)필마픽쳐스 ,(주)라인필름,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"공포(호러),스릴러",김용균,"이시영,엄기준,정현태,문가영,권해효"
51,웜 바디스,3/14/2013,"8,361,708,124",0.5%,"8,361,708,124","1,169,839","1,169,839",477,"37,960",미국,미국,,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,액션",조나단 레빈,"니콜라스 홀트,테레사 팔머,존 말코비치"
52,고령화 가족,5/9/2013,"8,169,492,153",0.5%,"8,169,492,153","1,141,222","1,141,222",583,"37,524",한국,한국,(주)인벤트스톤,씨제이이앤엠(주),15세이상관람가,"드라마,코미디",송해성,"우혜진,박해일,윤제문,공효진,윤여정,진지희,이학렬,임승묵,임효우,정광호,정승환,김석영,최철수,홍진성,황유진,김해곤,문선영,박용수,선현철,송진영,신창수,이강진,양희경,이종현,김영재,이영진,이영진,강석철,유승목,김근영"
53,헝거게임: 캣칭 파이어,11/21/2013,"7,850,816,000",0.5%,"7,850,816,000","1,125,739","1,125,739",630,"33,686",미국,미국,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"판타지,액션",프란시스 로렌스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,우디 해럴슨"
54,더 울버린,7/25/2013,"7,849,518,000",0.5%,"7,849,518,000","1,075,333","1,075,333",707,"26,905",미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,SF",제임스 맨골드,"휴 잭맨,사나다 히로유키,윌 윤 리"
55,동창생,11/6/2013,"7,010,197,126",0.5%,"7,010,197,126","1,048,280","1,048,280",660,"36,401",한국,한국,"더램프(주),(주)황금물고기",(주)쇼박스,15세이상관람가,"액션,드라마",박홍수,"최승현,한예리,윤제문,조성하,김유정,배성민,백주연,서정훈,송은영,안성민,이미지,이소민,이정수,이준수,이한솔,권혁석,임병우,정대곤,전도영,김정섭,차준호,최정선,허진찬,박태기,박성웅,동현배,유재명,정호빈,박길수,유하복,서동수,진용욱,이주실"
56,에픽 : 숲속의 전설,8/7/2013,"6,748,072,000",0.4%,"6,748,072,000","978,785","978,785",471,"18,377",미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처",크리스 웻지,"아만다 사이프리드,조쉬 허처슨,콜린 파렐,제이슨 서디키스,비욘세 놀즈,조니 녹스빌,크리스토프 왈츠,스티븐 타일러,한승연,정진운"
57,전국노래자랑,5/1/2013,"6,687,636,000",0.4%,"6,687,636,000","978,413","978,413",581,"41,649",한국,한국,(주)인앤인픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"코미디,드라마",이종필,"김인권,류현경,김수미,오광록,유연석,이초희,오현경,송해,최두원,김경민,김정복,김용건,정경순,이병준,서동수,정재헌,김환희,이세랑,이정은"
58,슈퍼배드 2,9/12/2013,"6,605,655,500",0.4%,"6,605,655,500","962,862","962,862",424,"17,373",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"크리스 리노드,피에르 꼬팽","알 파치노,스티브 카렐,미란다 코스그로브,태연,서현"
59,잭 더 자이언트 킬러,2/28/2013,"7,376,481,000",0.5%,"7,376,481,000","956,154","956,154",507,"27,115",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"판타지,드라마,어드벤처",브라이언 싱어,"니콜라스 홀트,이완 맥그리거,엘레노어 톰린슨,빌 나이,존 캐시어,스탠리 투치"
60,크루즈 패밀리,5/16/2013,"6,540,951,500",0.4%,"6,540,951,500","941,824","941,824",525,"21,734",미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,가족,코미디","커크 드 미코,크리스 샌더스","니콜라스 케이지,라이언 레이놀즈,엠마 스톤,캐서린 키너,클락 듀크,클로리스 리치먼"
61,뽀로로 극장판 슈퍼썰매 대모험,1/23/2013,"6,826,641,500",0.4%,"6,826,641,500","931,342","931,342",459,"19,941",한국,한국,"(주)오콘,중국오락문화투자유한회사",씨제이이앤엠(주),전체관람가,애니메이션,박영균,"이선,이미자,김환진,함수정,홍소영,조현정,정미숙,강승훈,김남희,김은정,김정달,김태훈,노영란,박민교,박영수,박장호,윤창섭"
62,개구쟁이 스머프 2,8/1/2013,"5,993,979,500",0.4%,"5,993,979,500","921,788","921,788",478,"15,485",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,"애니메이션,코미디,가족",라자 고스넬,"박명수,닐 패트릭 해리스,크리스티나 리치,알란 커밍,행크 아자리아,케이티 페리,제이마 메이스"
63,몬스터 호텔,1/17/2013,"6,080,221,500",0.4%,"6,080,221,500","884,885","884,885",489,"16,647",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,"애니메이션,가족",젠디 타타코브스키,"아담 샌들러,스티브 부세미,프란 드레셔,앤디 샘버그,정찬우,김태균"
64,열한시,11/28/2013,"6,097,792,000",0.4%,"6,097,792,000","870,785","870,785",512,"32,536",한국,한국,"(주)파레토웍스,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,스릴러,김현석,"정재영,김옥빈,최다니엘,이대연,박철민,신다은,오광록,김중탁,이시연,김정우"
65,몬스터 대학교,9/12/2013,"5,879,223,500",0.4%,"5,879,223,500","870,605","870,605",385,"15,172",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,애니메이션,댄 스캔론,"빌리 크리스탈,존 굿맨,스티브 부세미,롭 리글,피터 손"
66,남쪽으로 튀어,2/6/2013,"5,970,851,500",0.4%,"5,970,851,500","832,894","832,894",428,"23,088",한국,한국,"(주)영화사거미,필름트레인",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"코미디,드라마",임순례,"김윤석,오연수,한예리,백승환,박사랑,김성균,이청기,이현경,최성태,홍지은,황인준,박윤호,서은아,김종구,김홍파,라미란,이동휘,김태훈,박진우,이대연,유재명,유하복,오희준"
67,하늘에서 음식이 내린다면 2,11/21/2013,"5,411,562,500",0.3%,"5,411,562,500","797,850","797,850",545,"16,340",미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,"애니메이션,코미디,가족","코디 카메론,크리스 피언","빌 헤이더,안나 패리스,닐 패트릭 해리스"
68,잭 리처,1/17/2013,"5,758,577,000",0.4%,"5,758,577,000","784,031","784,031",431,"19,868",미국,미국,파라마운트 픽쳐스,씨제이이앤엠(주),15세이상관람가,액션,크리스토퍼 맥쿼리,"톰 크루즈,로자문드 파이크,로버트 듀발,베르너 헤어조크,리차드 젠킨스,데이빗 오예로오"
